orbital_period,transit_duration,transit_depth,planet_radius,snr,semi_major_axis,stellar_density,equilibrium_temp,inclination,stellar_radius,stellar_mass,impact_parameter,koi_disposition
23.65369415,8.2183,3341.8,7.89,266.3,0.1658,0.41907,731.0,89.98,1.384,1.083,0.008,CONFIRMED
13.23352214,6.7372,504.6,3.06,49.1,0.1126,0.3884,888.0,89.95,1.384,1.083,0.014,CONFIRMED
6.15560285,4.9843,285.0,2.32,35.1,0.0676,0.40662,1146.0,88.56,1.384,1.083,0.235,CONFIRMED
2.090811305,3.388,115.9,1.62,19.9,0.0329,0.1588,1642.0,77.03,1.384,1.083,0.746,CONFIRMED
3.180027898,3.5797,120.3,1.53,50.4,0.0439,0.5756,1458.0,88.34,1.402,1.113,0.196,CONFIRMED
50.4467417,7.159,370.3,2.67,19.4,0.2747,0.97794,568.0,89.57,1.384,1.083,0.379,CONFIRMED
11.76307164,2.9076,1037.3,2.35,48.9,0.0954,4.37951,616.0,89.91,0.756,0.849,0.048,CONFIRMED
56.2279271,3.57,862.7,2.37,20.9,0.2707,4.47051,366.0,89.56,0.756,0.849,0.7,CONFIRMED
2.384052875,3.0918,1268.1,17.06,50.5,0.0308,0.03902,1010.0,58.76,0.701,0.683,1.178,FALSE POSITIVE
7.953547,2.6312,875.4,2.25,38.4,0.0712,3.48717,696.0,89.24,0.779,0.759,0.3,CONFIRMED
4.14451656,2.3421,391.8,1.48,22.8,0.0461,2.87358,864.0,89.99,0.779,0.759,0.004,CONFIRMED
4.859386384,2.2757,6044.3,38.33,269.7,0.0571,0.4563,1114.0,81.27,0.988,1.05,1.259,FALSE POSITIVE
10.526294577,2.5211,9768.0,8.24,482.3,0.088,3.85261,713.0,88.69,0.793,0.82,0.644,CONFIRMED
4.583520948,2.7055,3812.1,5.39,99.5,0.0535,2.30111,1038.0,89.81,0.877,0.973,0.045,CONFIRMED
3.76181843,3.5176,510.6,2.66,35.9,0.047,0.06927,1121.0,75.62,0.949,0.974,0.926,CONFIRMED
8.20396958,2.9667,1024.4,3.01,54.4,0.0735,0.65082,742.0,86.43,0.826,0.785,0.823,CONFIRMED
14.49645186,4.016,647.5,3.01,25.7,0.1074,0.0859,613.0,84.34,0.826,0.785,0.97,CONFIRMED
6.54626149,2.75,655.9,2.19,24.8,0.0668,1.35056,810.0,87.46,0.817,0.926,0.644,CONFIRMED
12.71809866,3.0957,1149.4,2.31,52.7,0.0934,2.98907,562.0,89.17,0.686,0.67,0.427,CONFIRMED
36.06588163,4.3246,1563.8,2.64,51.7,0.1871,3.78452,397.0,89.77,0.686,0.67,0.26,CONFIRMED
4.190425659,2.8589,2877.4,6.21,240.6,0.0535,1.28404,1234.0,87.52,1.135,1.163,0.458,CONFIRMED
3.709870784,3.0694,2020.3,4.35,116.1,0.0471,1.22579,1151.0,89.86,0.978,1.013,0.023,CONFIRMED
16.3297527,6.271,1187.5,3.75,74.6,0.1255,0.16717,727.0,86.59,0.987,0.989,0.791,CONFIRMED
27.807566216,4.21587,25391.0,13.84,748.1,0.1711,1.98053,554.0,88.96,0.785,0.865,0.782,CONFIRMED
80.8723469,11.195,3604.6,7.59,160.9,0.3577,0.37264,452.0,89.4,1.238,0.932,0.527,CONFIRMED
3.166465862,2.9381,4357.2,26.82,122.1,0.0371,0.12553,954.0,71.8,0.704,0.68,1.266,FALSE POSITIVE
24.99324319,5.9409,269.6,2.29,62.0,0.1651,0.42385,712.0,88.37,1.317,0.961,0.686,CONFIRMED
10.35533116,3.1775,750.6,2.47,49.2,0.0895,2.92779,777.0,89.93,0.918,0.891,0.029,CONFIRMED
16.08518937,3.984,1442.4,3.68,62.6,0.1173,0.41177,613.0,87.21,0.826,0.83,0.867,CONFIRMED
235.9986399,8.2284,20715.0,10.59,271.8,0.6534,2.14449,188.0,89.76,0.657,0.666,0.778,CANDIDATE
7.49018305,2.7297,1123.6,2.56,53.0,0.0703,3.3941,753.0,89.95,0.787,0.823,0.02,CONFIRMED
36.2761238,4.7865,1572.6,3.03,45.5,0.2012,3.09103,445.0,89.97,0.787,0.823,0.035,CONFIRMED
17.46087931,2.2641,812.4,2.32,22.6,0.1236,7.45729,568.0,89.31,0.787,0.823,0.594,CONFIRMED
56.0560754,4.685,1626.0,1.94,27.4,0.228,5.11354,233.0,89.99,0.491,0.503,0.018,CONFIRMED
41.408316686,5.0264,22839.0,11.38,907.8,0.2162,3.42177,453.0,89.68,0.747,0.786,0.377,CONFIRMED
39.74893077,7.3051,15179.0,14.21,561.1,0.2311,0.31474,552.0,88.3,0.964,1.041,0.881,CANDIDATE
5.715425977,2.5242,908.1,2.47,59.4,0.0611,2.71439,850.0,88.81,0.826,0.927,0.348,CONFIRMED
49.18394185,11.3364,1646.2,8.2,355.7,0.2829,0.31666,669.0,89.94,2.057,1.247,0.035,CONFIRMED
20.0261412,1.611,421.2,2.28,10.7,0.1409,2.00738,559.0,88.43,0.826,0.927,0.957,CONFIRMED
13.61014819,2.594,5732.9,19.02,184.1,0.1061,0.84633,733.0,86.94,0.903,0.857,1.081,CANDIDATE
10.44331991,2.743,1159.8,2.66,51.7,0.0857,4.32663,667.0,89.55,0.802,0.769,0.23,FALSE POSITIVE
2.237489571,1.8119,315.8,1.41,30.7,0.0325,3.26761,1160.0,89.23,0.81,0.91,0.128,CONFIRMED
5.851520671,3.11058,33004.0,14.62,1630.4,0.0591,2.48066,901.0,89.27,0.806,0.804,0.211,FALSE POSITIVE
3.167893418,2.1814,781.2,2.62,64.8,0.0426,2.78453,1221.0,89.87,0.94,1.026,0.026,CONFIRMED
4.311780262,2.7251,1154.0,3.11,86.1,0.0511,1.86883,1038.0,89.08,0.927,0.956,0.196,CONFIRMED
20.0504494,4.556,840.9,2.69,37.8,0.1423,1.54536,622.0,89.31,0.927,0.956,0.383,CONFIRMED
